date,open,high,low,close,volume
2020-01-01,32237.9,32347.5,32058.55,32128.9,0
2020-01-02,32133.15,32463.1,32132.95,32432.65,0
2020-01-03,32326.95,32326.95,31962.25,32077.8,0
2020-01-06,31910.45,31910.45,31171.95,31228.7,0
2020-01-07,31598.05,31850.05,31201.5,31400.95,0
2020-01-08,30995.5,31448.65,30902.6,31355.3,0
2020-01-09,31748.25,32172.35,31706.1,32071.55,0
2020-01-10,32215.7,32345.2,31955.0,32081.9,0
2020-01-13,32139.1,32322.65,32075.6,32198.2,0
2020-01-14,32196.45,32196.45,31989.8,32061.45,0
2020-01-15,31994.75,31997.3,31671.5,31835.85,0
2020-01-16,31810.55,31988.4,31695.95,31849.45,0
2020-01-17,31571.65,31772.5,31454.35,31553.7,0
2020-01-20,31923.95,31923.95,31052.5,31097.7,0
2020-01-21,30978.85,31170.05,30862.0,30955.1,0
2020-01-22,31061.6,31147.75,30615.75,30691.85,0
2020-01-23,30742.2,31087.25,30624.45,31012.75,0
2020-01-24,31040.1,31374.15,30882.7,31257.0,0
2020-01-27,31110.55,31226.75,30808.8,30819.2,0
2020-01-28,30922.0,31048.25,30658.1,30780.7,0
2020-01-29,30915.1,31082.05,30839.95,30872.65,0
2020-01-30,30889.25,30894.9,30522.05,30620.0,0
2020-01-31,30950.5,31028.9,30692.9,30812.75,0
2020-02-01,30726.2,30918.55,29755.3,29814.75,0
2020-02-03,29811.75,30105.25,29615.3,30046.5,0
2020-02-04,30235.3,30776.15,30186.75,30679.8,0
2020-02-05,30761.95,31065.85,30633.1,31018.0,0
2020-02-06,31070.75,31465.3,30917.65,31286.7,0
2020-02-07,31367.05,31367.05,31111.6,31163.25,0
2020-02-10,31248.65,31248.65,30958.35,31066.3,0
2020-02-11,31230.2,31504.25,31230.2,31299.95,0
2020-02-12,31441.15,31588.6,31403.45,31482.65,0
2020-02-13,31586.55,31598.55,31181.35,31197.75,0
2020-02-14,31281.85,31435.15,30780.4,30861.95,0
2020-02-17,30873.85,30996.5,30632.0,30711.55,0
2020-02-18,30661.5,30680.7,30259.45,30618.65,0
2020-02-19,30905.0,30930.35,30608.35,30841.05,0
2020-02-20,30862.3,31082.0,30709.35,30939.55,0
2020-02-24,30666.35,30702.15,30429.4,30486.35,0
2020-02-25,30517.0,30609.9,30332.05,30465.25,0
2020-02-26,30279.95,30509.05,30135.1,30345.35,0
2020-02-27,30270.0,30270.0,29918.85,30164.6,0
2020-02-28,29501.55,29564.1,29053.4,29191.4,0
2020-03-02,29701.0,29778.65,28573.5,28913.4,0
2020-03-03,29012.55,29280.65,28755.9,29240.7,0
2020-03-04,29252.95,29252.95,28125.45,28671.25,0
2020-03-05,28830.3,29132.6,28538.55,28787.6,0
2020-03-06,27649.95,28042.5,27201.3,27780.45,0
2020-03-09,27031.45,27039.05,25940.4,26502.25,0
2020-03-11,26272.75,26784.2,26241.5,26458.25,0
2020-03-12,25175.9,25215.95,23613.1,24162.5,0
2020-03-13,22720.75,25654.95,21397.45,25346.35,0
2020-03-16,24061.6,24061.6,23012.4,23084.9,0
2020-03-17,23348.05,23448.4,22006.55,22103.9,0
2020-03-18,22411.85,22531.6,20269.45,20828.65,0
2020-03-19,19428.95,21032.75,18680.65,20042.7,0
2020-03-20,19898.3,20923.25,19265.55,20272.9,0
2020-03-23,18311.3,18891.4,16792.2,17015.0,0
2020-03-24,17705.85,17799.4,16118.1,17256.15,0
2020-03-25,16759.95,18735.7,16637.8,18536.9,0
2020-03-26,18781.85,20406.05,18371.4,19660.5,0
2020-03-27,20801.6,21450.95,19582.8,19931.1,0
2020-03-30,19254.45,19712.05,18672.2,18763.25,0
2020-03-31,19307.65,19463.9,18796.75,19051.4,0
2020-04-01,19122.4,19154.75,18044.85,18207.35,0
2020-04-03,18325.05,18325.05,17149.85,17317.65,0
2020-04-07,18454.55,19181.55,17957.35,19055.45,0
2020-04-08,18799.4,20318.0,18489.45,18936.2,0
2020-04-09,19553.15,19987.9,19170.65,19876.45,0
2020-04-13,19854.9,19884.8,19294.0,19531.95,0
2020-04-15,20096.35,20178.35,18777.4,19120.9,0
2020-04-16,18957.15,19517.1,18706.25,19494.35,0
2020-04-17,20394.75,20827.95,19735.7,20749.25,0
2020-04-20,21104.7,21113.45,20444.7,20488.55,0
2020-04-21,19812.05,19873.3,19254.45,19354.25,0
2020-04-22,19306.95,19804.8,19053.5,19744.9,0
2020-04-23,19871.35,20355.15,19597.75,20221.7,0
2020-04-24,19697.65,19949.45,19517.8,19636.6,0
2020-04-27,19870.8,20224.45,19866.45,20080.8,0
2020-04-28,20436.6,20748.5,20262.85,20739.0,0
2020-04-29,20440.4,21345.5,20417.3,20982.7,0
2020-04-30,21589.2,21966.65,21357.7,21478.45,0
2020-05-04,20514.75,20514.75,19645.65,19813.25,0
2020-05-05,20147.3,20221.75,19214.5,19333.35,0
2020-05-06,19302.45,19803.75,18943.95,19762.3,0
2020-05-07,19536.05,19754.55,19336.85,19528.4,0
2020-05-08,19844.0,19967.75,19287.2,19360.7,0
2020-05-11,19610.45,19729.6,18903.65,18974.8,0
2020-05-12,18751.4,18989.85,18291.15,18888.85,0
2020-05-13,20017.75,20088.2,19430.95,19643.35,0
2020-05-14,19197.7,19377.85,19026.0,19092.15,0
2020-05-15,19098.8,19104.1,18685.6,18818.2,0
2020-05-18,18795.1,18795.1,17518.6,17638.45,0
2020-05-19,18037.15,18172.8,17394.95,17520.55,0
2020-05-20,17486.5,17999.55,17415.05,17939.7,0
2020-05-21,17901.95,18199.8,17659.15,17740.15,0
2020-05-22,17554.25,17948.85,17108.35,17359.5,0
2020-05-26,17537.65,17677.85,17313.25,17506.5,0
2020-05-27,17603.4,18871.95,17561.5,18711.95,0
2020-05-28,18924.45,19450.5,18828.4,19156.3,0
2020-05-29,18962.0,19356.9,18732.05,19212.45,0
2020-06-01,19728.9,20222.85,19668.7,19917.7,0
2020-06-02,20120.6,20612.95,19856.8,20612.95,0
2020-06-03,20966.6,21613.25,20823.45,20918.5,0
2020-06-04,20932.35,21140.6,20317.35,20379.35,0
2020-06-05,20516.4,21196.35,20426.55,21177.4,0
2020-06-08,21636.1,21805.3,20916.45,21223.75,0
2020-06-09,21295.5,21566.95,20631.35,20653.85,0
2020-06-10,20760.95,21250.6,20673.95,21240.25,0
2020-06-11,21084.7,21238.45,20460.05,20534.4,0
2020-06-12,19529.3,20742.5,19529.3,20600.05,0
2020-06-15,20457.15,20457.15,19741.95,19924.2,0
2020-06-16,20500.65,20634.55,19510.35,20251.8,0
2020-06-17,20137.45,20624.8,19981.6,20197.1,0
2020-06-18,20137.6,21026.2,20033.3,20922.2,0
2020-06-19,20970.1,21466.65,20878.25,21332.95,0
2020-06-22,21491.55,22077.3,21464.65,21742.3,0
2020-06-23,21859.25,22321.0,21650.5,22315.1,0
